country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Belgium;29,5;25,7;25,4;24,9;24,7;25,3;25,9;26,3;26,5;26,7;27,8
Bulgaria;13,2;13,2;8,8;8,9;8,8;8,8;9,0;9,0;9,0;9,0;9,0
Czech Republic;22,7;21,0;21,0;18,4;17,5;16,7;16,7;16,7;16,7;16,7;16,7
Denmark;25,1;25,1;22,5;22,6;22,6;22,6;22,6;22,0;22,0;22,2;21,3
Germany;35,8;35,5;35,5;28,2;28,0;28,0;28,2;28,2;28,2;28,2;28,2
Estonia;18,8;18,1;17,3;16,5;16,5;16,5;16,5;16,5;16,5;16,5;15,7
Ireland;14,3;14,4;14,4;14,4;14,4;14,4;14,4;14,4;14,4;14,4;14,1
Greece;27,8;25,2;21,7;21,8;30,5;21,0;17,5;17,5;24,1;24,1;27,1
Spain;36,5;36,5;34,5;32,8;32,8;32,8;31,9;32,4;33,7;32,6;32,9
France;34,8;34,4;34,6;34,6;34,7;32,8;32,8;34,3;34,7;38,3;38,3
Croatia;16,5;16,5;16,5;16,5;16,5;16,5;16,5;16,5;16,5;16,5;16,5
Italy;31,8;31,8;31,8;27,3;27,5;27,5;24,9;25,1;25,1;24,2;23,8
Cyprus;10,6;10,6;10,6;10,6;10,6;11,6;11,6;11,9;15,2;15,2;15,2
Latvia;14,3;14,3;14,3;13,8;13,8;11,8;12,2;12,2;12,1;14,3;14,3
Lithuania;12,7;16,0;15,2;12,7;16,8;12,7;12,7;12,7;13,6;13,6;13,6
Luxembourg;26,5;25,9;25,9;25,9;25,0;25,0;24,9;24,9;25,5;25,5;25,5
Hungary;16,6;16,3;19,5;19,5;19,5;19,1;19,3;19,3;19,3;19,3;19,3
Malta;32,2;32,2;32,2;32,2;32,2;32,2;32,2;32,2;32,2;32,2;32,2
Netherlands;28,4;26,7;23,1;23,1;22,2;22,2;21,8;22,6;21,6;22,6;22,5
Austria;23,0;23,0;23,0;23,0;22,7;22,7;23,0;23,0;23,0;23,0;23,0
Poland;17,1;17,1;17,4;17,4;17,5;17,5;17,5;17,5;17,5;17,5;17,5
Portugal;24,6;24,6;23,7;23,7;23,7;26,2;26,2;28,4;28,4;28,4;26,6
Romania;14,7;14,7;14,8;14,8;14,8;14,8;14,8;14,8;14,8;14,8;14,8
Slovenia;22,1;22,3;20,9;20,0;19,1;18,2;18,2;16,4;15,5;15,5;15,5
Slovakia;16,8;16,8;16,8;16,8;16,8;16,8;16,8;16,8;20,3;19,4;19,6
Finland;24,5;24,5;24,5;24,5;23,6;23,8;24,7;23,3;22,3;18,4;18,6
Sweden;24,6;24,6;24,6;24,6;23,2;23,2;23,2;23,2;19,4;19,4;19,4
United Kingdom;29,3;29,2;29,3;28,0;28,3;28,4;26,9;25,2;24,3;22,4;21,5